"corpus","AranRusi_x"
"subcorpus","-"
"concordance size","8070"
"query","Query:[] [word=""цель""]"
"преследовать",70,1947,8.35158,9.12127,7.83912
"перед",131,47860,11.17557,5.40591,6.26209
"попадание",26,3107,5.05968,7.01815,6.25219
"поставить",71,22869,8.25093,5.58766,6.23261
"четко",32,6020,5.58815,6.36347,6.21762
"ставить",36,12898,5.86122,5.43409,5.81402
"сформулировать",17,2453,4.08470,6.74615,5.72620
"попадать",23,7346,4.69694,5.59984,5.61142
"точно",38,17658,5.97948,5.05891,5.59688
"попасть",30,16025,5.28834,4.85788,5.35044
"наведение",10,783,3.14629,7.62808,5.20998
"каков",11,4749,3.22418,5.16505,4.81344
"объединять",10,3623,3.08831,5.41798,4.80857
"обозначить",8,3125,2.75710,5.30938,4.54943
"ведь",41,50297,5.89601,3.65839,4.52469
"главный",42,57101,5.91192,3.51011,4.40037
"ракета",7,3229,2.56696,5.06950,4.34345
"миссия",7,3585,2.55827,4.91862,4.29869
"мотив",7,4309,2.54061,4.65324,4.21175
"определить",14,17999,3.43110,3.59075,4.13731
"правильно",13,16625,3.30787,3.59839,4.10851
"пуля",5,1672,2.18779,5.53359,4.07193
"смысл",15,21364,3.51687,3.44302,4.06169
"реализовать",9,9862,2.78777,3.82128,4.03968
"объяснить",8,8164,2.64208,3.92396,4.01327
"преследоваться",4,153,1.99506,8.66163,3.99455
"метание",4,333,1.98925,7.53964,3.96331
"иметь",67,133332,7.13374,2.96045,3.95665
"достигаться",5,2543,2.16265,4.92863,3.94838
"формулировать",4,505,1.98370,6.93888,3.93408
"достигнуть",8,9252,2.61725,3.74347,3.91968
"заход",4,738,1.97618,6.39154,3.89540
"осуществить",6,5396,2.30727,4.10631,3.86793
"поразить",5,3488,2.13536,4.47277,3.82532
"предмет",13,22339,3.20556,3.17218,3.80823
"достичь",5,3675,2.12996,4.39742,3.80217
"если",118,271599,9.24863,2.75055,3.78928
"ясно",5,3781,2.12690,4.35640,3.78921
"наш",77,180164,7.44946,2.72686,3.74462
"атака",5,4196,2.11492,4.20615,3.73955
"актуальность",4,1813,1.94148,5.09486,3.72927
"изначально",5,5115,2.08839,3.92043,3.63532
"ее",35,84491,4.99407,2.68179,3.63117
"себя",71,180359,7.04428,2.60826,3.62609
"основной",27,67790,4.35390,2.62512,3.54384
"поскольку",12,26098,2.97772,2.83233,3.52460
"идеал",4,3348,1.89193,4.20994,3.52098
"суть",7,12025,2.35233,3.17263,3.51281
"воедино",3,582,1.71036,6.31911,3.50614
"указать",9,18226,2.60778,2.93524,3.48737
"лишь",18,44965,3.55842,2.63243,3.47527
"конечный",5,6900,2.03685,3.48857,3.45214
"наводить",3,1003,1.69467,5.53388,3.43760
"желание",10,22909,2.69458,2.75732,3.40293
"ориентир",3,1376,1.68076,5.07772,3.37947
"атаковать",3,1447,1.67812,5.00513,3.36867
"фигура",5,7817,2.01038,3.30855,3.36637
"умение",5,7847,2.00951,3.30302,3.36365
"итак",5,8093,2.00241,3.25849,3.34152
"заключаться",6,11336,2.15072,3.03536,3.34075
"гипотеза",3,1717,1.66805,4.75831,3.32831
"ясный",4,5178,1.83286,3.58084,3.30651
"прямо",7,15482,2.26797,2.80807,3.28379
"ибо",5,8834,1.98102,3.13210,3.27685
"видеть",15,42681,3.16153,2.44461,3.27574
